dataset,mean,std
practical,-1.196521e-5,0.029951086
mka,-1.8136634548116576e-06,0.014968201248332817
custom_mac,1.1392370941703196e-06,0.004250888263260157
custom_washing_machine,-6.310410584714056e-08,0.00348658968623904
custom_dishwasher,-1.1235427425222875e-06,0.004850831873425456
noiseless,-1.196521e-5,0.029951086
custom_open_window,-6.946730447968715e-07,0.0074129236995254776
all_w_custom,-4.6142277343290924e-06,0.0141978959741988
all_w_custom_noisy,-2.90546154721181e-06,0.010363132736569311
all,-6.5320493438288965e-06,0.017513565211178347
custom_noisy,-6.271066310554332e-07,0.005250115086396658
custom,-1.8552069974899498e-07,0.005000308380612532
