dataset,mean,std
practical,-1.9547403904206824e-05,0.03486305540369913
mka,-1.8136634548116576e-06,0.014968201248332817
custom_mac,1.0490932291668675e-06,0.004483881838128965
custom_washing_machine,-6.310410584714056e-08,0.00348658968623904
custom_dishwasher,-1.1235427425222875e-06,0.004850831873425456
noiseless,1.764919327531794e-06,0.002709438981503092
custom_open_window,-6.946730447968715e-07,0.0074129236995254776
all_w_custom,-4.636763700579955e-06,0.014256144367916002
all_w_custom_noisy,-2.918339242212303e-06,0.01039641753297914
all,-6.5320493438288965e-06,0.017513565211178347
custom_noisy,-6.271066310554332e-07,0.005250115086396658
custom,-2.08056665999858e-07,0.0050585567743297345
