dataset,mean,std
custom_open_window,8.138264979749143e-07,0.005566762767715354
custom_washing_machine,2.678807140246566e-07,0.002982419216486246
mka,-5.0092589759476e-07,0.012785048889472838
custom_dishwasher,-1.1959167198671555e-06,0.004135150616751273
noiseless,-1.196521e-5,0.029951086
custom_mac,1.0202054559661073e-06,0.003034270381148311
to_review_custom,1.0202054559661073e-06,0.003034270381148311
practical,-1.196521e-5,0.029951086
all_w_custom,-4.3415351490380235e-06,0.013369718981485179
all_w_custom_noisy,-2.4971928720028117e-06,0.00945188693241337
all,-6.1287820173727334e-06,0.0168148685149308
custom_noisy,-3.8069835955861547e-08,0.004228110866984291
custom,2.2649898702463066e-07,0.003929650745525296
